https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29718,29718,679,679
Alagoas (AL),89493,89493,2177,2177
Amapá (AP),50191,50191,731,731
Amazonas (AM),151597,151597,4332,4332
Bahia (BA),335351,335351,7316,7316
Ceará (CE),265102,265102,9210,9210
Distrito Federal(DF),204957,204957,3545,3545
Espírito Santo (ES),144415,144415,3713,3713
Goiás (GO),236814,236814,5374,5374
Maranhão (MA),181051,181051,3930,3930
Mato Grosso (MT),135950,135247,3717,3663
Mato Grosso do Sul (MS),77490,77123,1497,1493
Minas Gerais (MG),335683,335683,8446,8446
Pará (PA),241262,241242,6682,6677
Paraíba (PB),128435,128435,2993,2993
Paraná (PR),199524,199524,4923,4923
Pernambuco (PE),156029,156029,8487,8487
Piauí (PI),106394,106200,2295,2286
Rio de Janeiro (RJ),290878,290878,19765,19765
Rio Grande do Norte (RN),78860,77271,2561,2552
Rio Grande do Sul (RS),223016,223016,5347,5346
Rondônia (RO),68907,68907,1421,1421
Roraima (RR),54226,54181,681,681
Santa Catarina (SC),235159,235159,2967,2967
São Paulo (SP),1063602,1063602,38020,38020
Sergipe (SE),81564,81564,2134,2134
Tocantins (TO),72724,72594,1048,1044
TOTAL,5238392,5235344,153991,153905
