https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21587,21587,561,561
Alagoas (AL),67613,67613,1677,1677
Amapá (AP),38208,38208,602,602
Amazonas (AM),106950,106950,3359,3359
Bahia (BA),193029,193029,3953,3953
Ceará (CE),188638,188542,7979,7954
Distrito Federal(DF),123057,123057,1735,1731
Espírito Santo (ES),91791,91791,2735,2735
Goiás (GO),85154,85071,2020,2020
Maranhão (MA),130136,130136,3169,3169
Mato Grosso (MT),63680,63416,2147,2090
Mato Grosso do Sul (MS),31344,31344,509,509
Minas Gerais (MG),153927,153927,3537,3537
Pará (PA),168151,167642,5893,5885
Paraíba (PB),90082,90082,2000,2000
Paraná (PR),89966,89966,2345,2345
Pernambuco (PE),105134,105134,6941,6941
Piauí (PI),60178,59982,1503,1480
Rio de Janeiro (RJ),178850,178850,14080,14080
Rio Grande do Norte (RN),55315,55290,1976,1972
Rio Grande do Sul (RS),83991,83991,2360,2360
Rondônia (RO),44010,44010,943,943
Roraima (RR),36449,36387,547,547
Santa Catarina (SC),105935,105935,1445,1445
São Paulo (SP),627126,627126,25114,25114
Sergipe (SE),64693,64693,1589,1589
Tocantins (TO),31663,31663,451,451
TOTAL,3036657,3035422,101170,101049
