https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),32991,32991,708,708
Alagoas (AL),92480,92480,2291,2291
Amapá (AP),54838,54838,777,777
Amazonas (AM),169165,169165,4693,4693
Bahia (BA),372727,372727,7922,7922
Ceará (CE),284208,284208,9439,9439
Distrito Federal(DF),219712,219712,3813,3813
Espírito Santo (ES),168839,168751,3998,3998
Goiás (GO),267540,267377,6030,6030
Maranhão (MA),189501,189501,4171,4171
Mato Grosso (MT),152129,151354,4040,3985
Mato Grosso do Sul (MS),87935,87602,1690,1688
Minas Gerais (MG),381310,381310,9504,9504
Pará (PA),261788,261534,6827,6817
Paraíba (PB),138464,138464,3199,3199
Paraná (PR),238314,238314,5691,5691
Pernambuco (PE),170553,170553,8815,8815
Piauí (PI),120172,119940,2524,2523
Rio de Janeiro (RJ),326645,326645,21284,21284
Rio Grande do Norte (RN),83762,83401,2649,2640
Rio Grande do Sul (RS),277519,277519,6215,6215
Rondônia (RO),74981,74981,1501,1501
Roraima (RR),60535,60416,706,706
Santa Catarina (SC),293802,293802,3309,3309
São Paulo (SP),1167422,1167422,40549,40549
Sergipe (SE),85980,85980,2257,2257
Tocantins (TO),78077,77972,1137,1133
TOTAL,5851389,5848959,165739,165658
