https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),39166,39166,756,756
Alagoas (AL),100307,100307,2394,2394
Amapá (AP),64549,64549,864,864
Amazonas (AM),189812,189812,5049,5049
Bahia (BA),461026,461026,8720,8720
Ceará (CE),321891,321567,9897,9883
Distrito Federal(DF),242299,242299,4123,4123
Espírito Santo (ES),223219,223028,4696,4693
Goiás (GO),299447,298552,6651,6633
Maranhão (MA),198500,198500,4408,4408
Mato Grosso (MT),170619,169730,4303,4245
Mato Grosso do Sul (MS),119079,118003,2009,1993
Minas Gerais (MG),483369,483369,10933,10933
Pará (PA),284774,283839,7042,7035
Paraíba (PB),157396,157396,3507,3507
Paraná (PR),366281,366281,7172,7172
Pernambuco (PE),203497,203497,9361,9361
Piauí (PI),137027,136423,2755,2749
Rio de Janeiro (RJ),398879,398879,24204,24204
Rio Grande do Norte (RN),107476,106371,2869,2838
Rio Grande do Sul (RS),394816,394816,7944,7944
Rondônia (RO),87863,87863,1681,1681
Roraima (RR),67184,66977,769,766
Santa Catarina (SC),448162,448162,4598,4598
São Paulo (SP),1361731,1361731,44681,44681
Sergipe (SE),101706,101706,2387,2387
Tocantins (TO),86971,86585,1212,1210
TOTAL,7117046,7110434,184985,184827
