https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),15768,15768,417,417
Alagoas (AL),43959,43959,1246,1246
Amapá (AP),31080,31080,470,470
Amazonas (AM),82507,82507,3008,3008
Bahia (BA),101186,101186,2383,2383
Ceará (CE),134610,133546,6842,6777
Distrito Federal(DF),67297,67297,856,856
Espírito Santo (ES),61361,61356,1967,1967
Goiás (GO),35740,35138,835,807
Maranhão (MA),96718,96718,2392,2392
Mato Grosso (MT),27636,26396,1026,986
Mato Grosso do Sul (MS),12261,12261,146,146
Minas Gerais (MG),70086,70086,1504,1504
Pará (PA),124934,122674,5274,5224
Paraíba (PB),59118,59118,1229,1229
Paraná (PR),39512,39512,978,978
Pernambuco (PE),70100,70100,5482,5482
Piauí (PI),32465,31269,914,896
Rio de Janeiro (RJ),129443,129443,11280,11280
Rio Grande do Norte (RN),38342,38265,1362,1356
Rio Grande do Sul (RS),37490,37490,919,919
Rondônia (RO),26000,26000,606,605
Roraima (RR),21849,21220,396,393
Santa Catarina (SC),40106,40106,459,459
São Paulo (SP),359110,359110,17442,17442
Sergipe (SE),34713,34713,931,931
Tocantins (TO),14509,14509,245,245
TOTAL,1807900,1800827,70609,70398
