https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),43432,43432,827,827
Alagoas (AL),109319,109319,2577,2577
Amapá (AP),71689,71689,981,981
Amazonas (AM),218070,218070,5810,5810
Bahia (BA),515861,515861,9480,9480
Ceará (CE),347518,345235,10175,10162
Distrito Federal(DF),260797,260797,4375,4375
Espírito Santo (ES),267451,267323,5384,5382
Goiás (GO),321948,320782,7007,6988
Maranhão (MA),202314,202314,4575,4575
Mato Grosso (MT),192353,191315,4708,4635
Mato Grosso do Sul (MS),146143,145048,2609,2587
Minas Gerais (MG),602833,602833,12750,12750
Pará (PA),305012,303512,7349,7339
Paraíba (PB),173518,173518,3836,3836
Paraná (PR),486349,486349,8885,8885
Pernambuco (PE),234238,234238,9889,9889
Piauí (PI),148867,148032,2922,2915
Rio de Janeiro (RJ),465150,465150,26976,26976
Rio Grande do Norte (RN),126261,125338,3140,3115
Rio Grande do Sul (RS),485757,485757,9619,9619
Rondônia (RO),103798,103798,1951,1950
Roraima (RR),69984,69888,800,795
Santa Catarina (SC),526024,526024,5707,5707
São Paulo (SP),1561844,1561844,48662,48662
Sergipe (SE),124276,124276,2595,2595
Tocantins (TO),94381,93895,1286,1278
TOTAL,8205187,8195637,204875,204690
