https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),31248,31248,697,697
Alagoas (AL),91270,91270,2258,2258
Amapá (AP),52832,52832,751,751
Amazonas (AM),164070,164070,4607,4607
Bahia (BA),359130,359130,7731,7731
Ceará (CE),277072,276319,9392,9386
Distrito Federal(DF),214955,214955,3728,3728
Espírito Santo (ES),159813,159813,3896,3896
Goiás (GO),260133,259383,5869,5851
Maranhão (MA),186904,186904,4101,4101
Mato Grosso (MT),145644,144900,3896,3841
Mato Grosso do Sul (MS),84159,83616,1634,1629
Minas Gerais (MG),364541,364541,9128,9128
Pará (PA),256139,255369,6779,6773
Paraíba (PB),134297,134297,3138,3138
Paraná (PR),217175,217175,5293,5293
Pernambuco (PE),164222,164222,8687,8687
Piauí (PI),115825,115026,2459,2450
Rio de Janeiro (RJ),313843,313843,20849,20849
Rio Grande do Norte (RN),82549,82079,2607,2594
Rio Grande do Sul (RS),254828,254828,5954,5954
Rondônia (RO),72630,72630,1470,1470
Roraima (RR),58684,58304,695,695
Santa Catarina (SC),268644,268644,3173,3173
São Paulo (SP),1125936,1125936,39717,39717
Sergipe (SE),84810,84810,2231,2231
Tocantins (TO),76590,76175,1109,1108
TOTAL,5617943,5612319,161849,161736
