https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25494,25494,630,630
Alagoas (AL),80866,80866,1943,1943
Amapá (AP),44999,44999,675,675
Amazonas (AM),124223,124223,3855,3855
Bahia (BA),272814,272814,5734,5734
Ceará (CE),222884,222577,8588,8567
Distrito Federal(DF),171739,171739,2763,2763
Espírito Santo (ES),116578,116578,3286,3286
Goiás (GO),150865,149290,3484,3484
Maranhão (MA),159163,159163,3529,3529
Mato Grosso (MT),100012,99484,3010,2960
Mato Grosso do Sul (MS),55345,54363,1007,987
Minas Gerais (MG),236663,236663,5877,5877
Pará (PA),209808,208560,6280,6269
Paraíba (PB),109860,109860,2563,2563
Paraná (PR),145257,145257,3615,3615
Pernambuco (PE),132590,132590,7741,7741
Piauí (PI),83502,82564,1924,1915
Rio de Janeiro (RJ),233373,233373,16646,16646
Rio Grande do Norte (RN),64354,63879,2304,2295
Rio Grande do Sul (RS),144502,144502,3800,3800
Rondônia (RO),58559,58559,1193,1193
Roraima (RR),45505,45302,605,598
Santa Catarina (SC),190397,190397,2442,2442
São Paulo (SP),858783,858783,31430,31430
Sergipe (SE),73971,73971,1909,1909
Tocantins (TO),56684,56223,762,758
TOTAL,4168790,4162073,127595,127464
