https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),49049,49049,876,876
Alagoas (AL),118741,118741,2763,2763
Amapá (AP),77729,77729,1066,1066
Amazonas (AM),271177,271177,8414,8414
Bahia (BA),592770,592770,10176,10176
Ceará (CE),376628,375024,10510,10486
Distrito Federal(DF),278316,278316,4573,4573
Espírito Santo (ES),296641,296542,5913,5912
Goiás (GO),354629,353061,7549,7536
Maranhão (MA),208198,208198,4719,4719
Mato Grosso (MT),219717,218475,5180,5098
Mato Grosso do Sul (MS),163003,162220,2958,2937
Minas Gerais (MG),740972,740972,15126,15126
Pará (PA),333052,331163,7685,7669
Paraíba (PB),193465,193465,4082,4082
Paraná (PR),556304,556304,10141,10141
Pernambuco (PE),263722,263722,10387,10387
Piauí (PI),160252,159741,3087,3072
Rio de Janeiro (RJ),526276,526276,30004,30004
Rio Grande do Norte (RN),142663,141251,3331,3300
Rio Grande do Sul (RS),551317,551317,10778,10778
Rondônia (RO),126766,126766,2281,2281
Roraima (RR),74705,74367,871,857
Santa Catarina (SC),581352,581352,6416,6416
São Paulo (SP),1794019,1794019,53455,53455
Sergipe (SE),138611,138611,2794,2794
Tocantins (TO),103215,102790,1397,1391
TOTAL,9293289,9283418,226532,226309
