https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/14/casos-de-coronavirus-no-brasil-em-14-de-abril.ghtml,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),99,99,3
Alagoas (AL),72,72,4
Amapá (AP),308,307,6
Amazonas (AM),1484,1484,90
Bahia (BA),776,759,22
Ceará (CE),2075,2005,107
Distrito Federal(DF),651,651,17
Espírito Santo (ES),557,463,17
Goiás (GO),284,284,15
Maranhão (MA),630,478,32
Mato Grosso (MT),138,138,4
Mato Grosso do Sul (MS),115,115,4
Minas Gerais (MG),884,884,27
Pará (PA),384,323,19
Paraíba (PB),152,136,16
Paraná (PR),803,791,36
Pernambuco (PE),1284,1284,115
Piauí (PI),75,58,8
Rio de Janeiro (RJ),3410,3410,224
Rio Grande do Norte (RN),376,376,18
Rio Grande do Sul (RS),720,700,18
Rondônia (RO),69,64,2
Roraima (RR),114,113,3
Santa Catarina (SC),853,826,26
São Paulo (SP),9371,9371,695
Sergipe (SE),46,45,4
Tocantins (TO),28,26,1
TOTAL,25758,25262,
