https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25668,25668,631,631
Alagoas (AL),81092,81092,1949,1949
Amapá (AP),45251,45251,675,675
Amazonas (AM),124959,124959,3863,3862
Bahia (BA),275088,275088,5774,5774
Ceará (CE),223863,223622,8634,8604
Distrito Federal(DF),172708,172708,2813,2813
Espírito Santo (ES),117270,117270,3298,3298
Goiás (GO),154755,152640,3605,3531
Maranhão (MA),160239,160239,3539,3539
Mato Grosso (MT),101397,100895,3040,2992
Mato Grosso do Sul (MS),55345,55345,1009,1007
Minas Gerais (MG),238515,238515,5935,5935
Pará (PA),211061,209808,6289,6280
Paraíba (PB),110727,110727,2578,2578
Paraná (PR),146333,146333,3660,3660
Pernambuco (PE),133579,133579,7764,7764
Piauí (PI),84508,83502,1931,1924
Rio de Janeiro (RJ),233873,233873,16770,16770
Rio Grande do Norte (RN),64354,64135,2304,2296
Rio Grande do Sul (RS),147576,147576,3882,3882
Rondônia (RO),59196,59196,1207,1207
Roraima (RR),45855,45505,607,605
Santa Catarina (SC),192982,192982,2460,2460
São Paulo (SP),866576,866576,31821,31821
Sergipe (SE),74121,74121,1920,1920
Tocantins (TO),56684,56684,762,762
TOTAL,4203575,4197889,128720,128539
