https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),13253,13253,365,365
Alagoas (AL),35962,35962,1052,1052
Amapá (AP),28492,28492,417,417
Amazonas (AM),70823,70823,2823,2823
Bahia (BA),73307,73307,1853,1853
Ceará (CE),110483,108699,6146,6146
Distrito Federal(DF),49218,49218,587,587
Espírito Santo (ES),46893,46893,1648,1648
Goiás (GO),24953,24381,491,474
Maranhão (MA),80451,80451,2048,2048
Mato Grosso (MT),16304,15636,629,593
Mato Grosso do Sul (MS),7965,7965,83,76
Minas Gerais (MG),45001,45001,965,965
Pará (PA),105853,103206,4960,4920
Paraíba (PB),46957,46957,977,977
Paraná (PR),22877,22877,649,649
Pernambuco (PE),58858,58858,4829,4829
Piauí (PI),22059,20422,686,663
Rio de Janeiro (RJ),112611,112611,10080,10080
Rio Grande do Norte (RN),30305,30287,1040,1034
Rio Grande do Sul (RS),26941,26941,614,614
Rondônia (RO),21251,21251,518,518
Roraima (RR),15153,14641,314,283
Santa Catarina (SC),26354,26354,341,341
São Paulo (SP),281380,281380,14763,14763
Sergipe (SE),25411,25411,676,676
Tocantins (TO),10764,10764,200,200
TOTAL,1409879,1402041,59754,59594
