https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),16080,16080,419,419
Alagoas (AL),44633,44633,1264,1264
Amapá (AP),31279,31279,473,473
Amazonas (AM),83230,83230,3023,3023
Bahia (BA),104188,104188,2436,2436
Ceará (CE),136001,135945,6867,6853
Distrito Federal(DF),68406,68406,871,871
Espírito Santo (ES),62393,62236,1995,1984
Goiás (GO),36273,35793,847,844
Maranhão (MA),98398,98398,2426,2426
Mato Grosso (MT),27636,27636,1029,1029
Mato Grosso do Sul (MS),13197,12969,161,153
Minas Gerais (MG),73813,73813,1550,1550
Pará (PA),125714,124934,5289,5274
Paraíba (PB),60426,60421,1250,1250
Paraná (PR),40797,40797,1016,1016
Pernambuco (PE),71370,71370,5556,5556
Piauí (PI),32963,32465,936,914
Rio de Janeiro (RJ),129675,129675,11406,11406
Rio Grande do Norte (RN),39421,38616,1394,1380
Rio Grande do Sul (RS),38720,38720,943,943
Rondônia (RO),26496,26496,617,617
Roraima (RR),22225,21849,396,396
Santa Catarina (SC),42026,42026,485,485
São Paulo (SP),366890,366890,17702,17702
Sergipe (SE),36046,36046,954,954
Tocantins (TO),15132,14939,255,251
TOTAL,1843428,1839850,71560,71469
