https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),54969,54969,968,968
Alagoas (AL),128501,128501,2940,2940
Amapá (AP),82378,82378,1125,1125
Amazonas (AM),307164,307164,10522,10522
Bahia (BA),655481,655481,11254,11254
Ceará (CE),411904,410998,11008,10976
Distrito Federal(DF),290771,290771,4766,4766
Espírito Santo (ES),318812,318812,6298,6298
Goiás (GO),383150,381348,8331,8298
Maranhão (MA),216210,216210,4949,4949
Mato Grosso (MT),242846,241429,5651,5560
Mato Grosso do Sul (MS),177158,175973,3241,3224
Minas Gerais (MG),842377,842377,17733,17733
Pará (PA),357595,355745,8353,8322
Paraíba (PB),213227,213227,4379,4379
Paraná (PR),617165,617165,11156,11156
Pernambuco (PE),291189,291189,10863,10863
Piauí (PI),170355,169722,3260,3249
Rio de Janeiro (RJ),572866,572866,32256,32256
Rio Grande do Norte (RN),162499,160752,3542,3498
Rio Grande do Sul (RS),606414,606414,11820,11820
Rondônia (RO),143085,143085,2721,2721
Roraima (RR),79818,79818,1037,1037
Santa Catarina (SC),641840,641840,6988,6988
São Paulo (SP),1978477,1978477,57842,57842
Sergipe (SE),148372,148372,2914,2914
Tocantins (TO),110761,110077,1490,1485
TOTAL,10205384,10195160,247407,247143
