https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),16260,16260,430,430
Alagoas (AL),46296,46296,1297,1297
Amapá (AP),31552,31552,478,478
Amazonas (AM),84412,84412,3048,3048
Bahia (BA),106891,106891,2535,2535
Ceará (CE),137234,137206,6975,6947
Distrito Federal(DF),72284,72284,930,930
Espírito Santo (ES),63881,63879,2040,2040
Goiás (GO),37359,36696,880,852
Maranhão (MA),99830,99830,2501,2501
Mato Grosso (MT),29279,28792,1105,1085
Mato Grosso do Sul (MS),13461,13461,167,167
Minas Gerais (MG),76822,76822,1615,1615
Pará (PA),128570,126509,5318,5293
Paraíba (PB),61108,61108,1302,1302
Paraná (PR),43582,43582,1089,1089
Pernambuco (PE),72901,72901,5652,5652
Piauí (PI),34156,33359,992,960
Rio de Janeiro (RJ),132044,132044,11474,11474
Rio Grande do Norte (RN),39800,39800,1404,1404
Rio Grande do Sul (RS),39656,39656,995,995
Rondônia (RO),27050,27050,647,647
Roraima (RR),22968,22627,398,397
Santa Catarina (SC),43815,43815,517,517
São Paulo (SP),374607,374607,17907,17907
Sergipe (SE),38221,38221,1012,1012
Tocantins (TO),15307,15307,259,259
TOTAL,1889346,1884967,72967,72833
