https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),32113,32113,705,705
Alagoas (AL),92040,92040,2282,2282
Amapá (AP),53790,53790,770,770
Amazonas (AM),167486,167486,4655,4655
Bahia (BA),367669,367669,7859,7859
Ceará (CE),279989,279989,9418,9418
Distrito Federal(DF),217793,217793,3788,3788
Espírito Santo (ES),165688,165578,3969,3968
Goiás (GO),265131,264887,5900,5900
Maranhão (MA),188677,188677,4146,4146
Mato Grosso (MT),148623,147870,3943,3888
Mato Grosso do Sul (MS),86428,85990,1674,1645
Minas Gerais (MG),374651,374651,9204,9204
Pará (PA),260058,259189,6806,6802
Paraíba (PB),136640,136637,3178,3178
Paraná (PR),225624,225624,5563,5563
Pernambuco (PE),168093,168093,8773,8773
Piauí (PI),118939,118349,2499,2486
Rio de Janeiro (RJ),320598,320598,20970,20970
Rio Grande do Norte (RN),83463,82953,2622,2610
Rio Grande do Sul (RS),267750,267750,6034,6034
Rondônia (RO),73990,73990,1486,1486
Roraima (RR),59946,59586,705,701
Santa Catarina (SC),283252,283252,3268,3268
São Paulo (SP),1150872,1150872,39907,39907
Sergipe (SE),85643,85643,2247,2247
Tocantins (TO),77528,77306,1125,1120
TOTAL,5752474,5748375,163496,163373
