https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25027,25027,618,618
Alagoas (AL),79550,79550,1902,1902
Amapá (AP),43800,43800,668,668
Amazonas (AM),121793,121793,3798,3798
Bahia (BA),262299,262299,5502,5502
Ceará (CE),218414,218396,8481,8480
Distrito Federal(DF),164649,164649,2609,2609
Espírito Santo (ES),112827,112825,3204,3204
Goiás (GO),140192,138408,3323,3262
Maranhão (MA),154468,154468,3467,3467
Mato Grosso (MT),95233,94302,2868,2816
Mato Grosso do Sul (MS),50645,50645,903,903
Minas Gerais (MG),222048,222048,5505,5505
Pará (PA),203969,202436,6215,6201
Paraíba (PB),107384,107384,2483,2483
Paraná (PR),135609,135609,3399,3399
Pernambuco (PE),128724,128724,7656,7656
Piauí (PI),79719,78922,1855,1846
Rio de Janeiro (RJ),228332,228332,16315,16315
Rio Grande do Norte (RN),62645,62432,2283,2275
Rio Grande do Sul (RS),131461,131461,3543,3543
Rondônia (RO),56411,56411,1161,1161
Roraima (RR),44334,44036,596,595
Santa Catarina (SC),182522,182522,2325,2325
São Paulo (SP),826331,826331,30673,30673
Sergipe (SE),72931,72931,1873,1873
Tocantins (TO),52124,52124,701,701
TOTAL,4003441,3997865,123926,123780
