https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30962,30962,695,695
Alagoas (AL),91016,91016,2250,2250
Amapá (AP),52832,52832,751,751
Amazonas (AM),162560,162560,4573,4573
Bahia (BA),354983,354983,7690,7690
Ceará (CE),275025,274833,9365,9362
Distrito Federal(DF),214202,214202,3707,3707
Espírito Santo (ES),157750,157648,3876,3874
Goiás (GO),257422,256800,5790,5762
Maranhão (MA),186209,186209,4081,4081
Mato Grosso (MT),144397,143659,3874,3819
Mato Grosso do Sul (MS),83439,83022,1622,1612
Minas Gerais (MG),361156,361156,9050,9050
Pará (PA),254384,253449,6767,6762
Paraíba (PB),133379,133379,3119,3119
Paraná (PR),215234,215234,5258,5258
Pernambuco (PE),163156,163156,8643,8643
Piauí (PI),114530,113942,2441,2432
Rio de Janeiro (RJ),313089,313089,20651,20651
Rio Grande do Norte (RN),82220,81557,2597,2583
Rio Grande do Sul (RS),250064,250064,5844,5844
Rondônia (RO),72049,72049,1460,1460
Roraima (RR),57789,57624,693,692
Santa Catarina (SC),263823,263823,3139,3139
São Paulo (SP),1118544,1118544,39364,39364
Sergipe (SE),84577,84577,2223,2223
Tocantins (TO),75991,75680,1105,1100
TOTAL,5570782,5566049,160628,160496
