https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),41620,41620,795,795
Alagoas (AL),104818,104818,2489,2489
Amapá (AP),68201,68201,925,925
Amazonas (AM),201013,201013,5285,5285
Bahia (BA),493400,493400,9129,9129
Ceará (CE),335992,335091,9993,9990
Distrito Federal(DF),251701,251701,4259,4259
Espírito Santo (ES),248251,248232,5081,5080
Goiás (GO),309110,308868,6805,6805
Maranhão (MA),200938,200938,4500,4500
Mato Grosso (MT),180451,179427,4520,4455
Mato Grosso do Sul (MS),134750,133761,2347,2329
Minas Gerais (MG),542909,542909,11902,11902
Pará (PA),293802,293540,7199,7188
Paraíba (PB),166484,166484,3672,3672
Paraná (PR),416566,416566,7974,7974
Pernambuco (PE),222166,222166,9654,9654
Piauí (PI),143179,142672,2840,2837
Rio de Janeiro (RJ),434648,434648,25530,25530
Rio Grande do Norte (RN),118728,118083,3007,2993
Rio Grande do Sul (RS),449674,449674,8872,8872
Rondônia (RO),95729,95729,1817,1817
Roraima (RR),68710,68689,787,781
Santa Catarina (SC),492583,492583,5253,5253
São Paulo (SP),1462297,1462297,46717,46717
Sergipe (SE),112505,112505,2484,2484
Tocantins (TO),90536,90358,1236,1234
TOTAL,7680761,7675973,195072,194949
