https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),52172,52172,907,907
Alagoas (AL),122491,122491,2839,2839
Amapá (AP),79835,79835,1093,1093
Amazonas (AM),290049,290049,9619,9619
Bahia (BA),620042,620042,10543,10543
Ceará (CE),390857,389457,10741,10705
Distrito Federal(DF),283194,283194,4660,4660
Espírito Santo (ES),307963,307793,6093,6091
Goiás (GO),369203,368174,7901,7834
Maranhão (MA),211644,211644,4821,4821
Mato Grosso (MT),230485,229172,5401,5313
Mato Grosso do Sul (MS),169308,168608,3100,3090
Minas Gerais (MG),793157,793157,16405,16405
Pará (PA),346146,344363,7924,7874
Paraíba (PB),201976,201976,4198,4198
Paraná (PR),581195,581195,10614,10614
Pernambuco (PE),276452,276452,10597,10597
Piauí (PI),164858,164162,3166,3156
Rio de Janeiro (RJ),549114,549114,31134,31134
Rio Grande do Norte (RN),149285,147631,3412,3381
Rio Grande do Sul (RS),577345,577345,11244,11244
Rondônia (RO),134697,134697,2455,2455
Roraima (RR),76973,76636,962,937
Santa Catarina (SC),605183,605183,6650,6650
São Paulo (SP),1889969,1889969,55742,55742
Sergipe (SE),143400,143400,2855,2855
Tocantins (TO),106494,105998,1447,1444
TOTAL,9723487,9713909,236523,236201
