https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),43785,43785,829,829
Alagoas (AL),109720,109720,2585,2585
Amapá (AP),72049,72049,987,987
Amazonas (AM),219544,219544,5879,5879
Bahia (BA),518955,518955,9512,9512
Ceará (CE),348912,348414,10204,10189
Distrito Federal(DF),261456,261456,4388,4388
Espírito Santo (ES),269223,269088,5419,5416
Goiás (GO),324064,323019,7020,7016
Maranhão (MA),202574,202574,4583,4583
Mato Grosso (MT),194113,193054,4727,4654
Mato Grosso do Sul (MS),146143,146143,2609,2609
Minas Gerais (MG),611152,611152,12894,12894
Pará (PA),306029,305012,7366,7349
Paraíba (PB),174199,174199,3845,3844
Paraná (PR),486843,486843,8916,8916
Pernambuco (PE),236041,236041,9919,9919
Piauí (PI),149686,148867,2930,2922
Rio de Janeiro (RJ),469437,469437,27241,27241
Rio Grande do Norte (RN),126261,125550,3140,3125
Rio Grande do Sul (RS),490980,490980,9699,9699
Rondônia (RO),104737,104737,1966,1965
Roraima (RR),70115,70086,800,800
Santa Catarina (SC),529389,529389,5765,5765
São Paulo (SP),1577119,1577119,48985,48985
Sergipe (SE),124942,124942,2607,2607
Tocantins (TO),94381,94381,1286,1286
TOTAL,8261849,8256536,206101,205964
