https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42814,42814,823,823
Alagoas (AL),107628,107628,2545,2545
Amapá (AP),70344,70344,962,962
Amazonas (AM),208798,208798,5546,5546
Bahia (BA),508695,508695,9364,9364
Ceará (CE),343887,342941,10137,10122
Distrito Federal(DF),257355,257355,4345,4345
Espírito Santo (ES),260970,260836,5287,5285
Goiás (GO),316852,316197,6946,6946
Maranhão (MA),201745,201745,4549,4549
Mato Grosso (MT),188199,187183,4648,4577
Mato Grosso do Sul (MS),141649,141649,2511,2511
Minas Gerais (MG),579469,579469,12469,12469
Pará (PA),300454,299045,7292,7280
Paraíba (PB),171547,171547,3788,3788
Paraná (PR),463309,463309,8629,8629
Pernambuco (PE),229701,229701,9789,9789
Piauí (PI),146779,145997,2895,2891
Rio de Janeiro (RJ),454275,454275,26480,26480
Rio Grande do Norte (RN),123257,122591,3092,3078
Rio Grande do Sul (RS),474917,474917,9359,9359
Rondônia (RO),100343,100343,1899,1899
Roraima (RR),69640,69461,793,793
Santa Catarina (SC),515209,515209,5584,5584
São Paulo (SP),1528952,1528952,48029,48029
Sergipe (SE),120262,120262,2554,2554
Tocantins (TO),92445,92445,1263,1263
TOTAL,8019495,8013708,201578,201460
