https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),33295,33295,708,708
Alagoas (AL),92642,92642,2298,2298
Amapá (AP),55156,55156,780,780
Amazonas (AM),169552,169552,4700,4700
Bahia (BA),374721,374721,7967,7967
Ceará (CE),286674,286562,9443,9440
Distrito Federal(DF),220403,220403,3825,3825
Espírito Santo (ES),171237,171067,4030,4026
Goiás (GO),268997,268258,6060,6037
Maranhão (MA),189705,189705,4187,4187
Mato Grosso (MT),152847,152068,4053,3998
Mato Grosso do Sul (MS),88965,88111,1697,1693
Minas Gerais (MG),383473,383473,9517,9517
Pará (PA),262345,261899,6838,6832
Paraíba (PB),139168,139168,3211,3211
Paraná (PR),240783,240783,5728,5728
Pernambuco (PE),171216,171216,8838,8838
Piauí (PI),120466,120266,2541,2530
Rio de Janeiro (RJ),327455,327455,21301,21301
Rio Grande do Norte (RN),84522,83653,2652,2643
Rio Grande do Sul (RS),279872,279872,6243,6243
Rondônia (RO),75468,75468,1503,1503
Roraima (RR),60790,60579,709,706
Santa Catarina (SC),297400,297400,3330,3330
São Paulo (SP),1169377,1169377,40576,40576
Sergipe (SE),86146,86146,2260,2260
Tocantins (TO),78364,78169,1141,1137
TOTAL,5881039,5876464,166136,166014
