https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/05/brasil-tem-486-mortes-e-11130-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),48,48
Alagoas (AL),28,28
Amapá (AP),32,29
Amazonas (AM),417,417
Bahia (BA),401,401
Ceará (CE),824,823
Distrito Federal(DF),468,468
Espírito Santo (ES),194,166
Goiás (GO),115,115
Maranhão (MA),133,96
Mato Grosso (MT),60,60
Mato Grosso do Sul (MS),65,65
Minas Gerais (MG),498,498
Pará (PA),102,86
Paraíba (PB),35,34
Paraná (PR),445,438
Pernambuco (PE),201,201
Piauí (PI),24,23
Rio de Janeiro (RJ),1394,1394
Rio Grande do Norte (RN),242,242
Rio Grande do Sul (RS),468,418
Rondônia (RO),14,12
Roraima (RR),42,42
Santa Catarina (SC),379,357
São Paulo (SP),4620,4620
Sergipe (SE),32,32
Tocantins (TO),17,17
TOTAL,11298,11130
