https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),16672,16672,446,446
Alagoas (AL),47864,47864,1331,1331
Amapá (AP),32408,32408,488,488
Amazonas (AM),86944,86944,3080,3080
Bahia (BA),112993,112993,2638,2638
Ceará (CE),141832,141248,7081,7030
Distrito Federal(DF),75381,75379,1001,1001
Espírito Santo (ES),66352,66352,2097,2097
Goiás (GO),39662,38895,959,927
Maranhão (MA),102469,102469,2572,2572
Mato Grosso (MT),30536,30319,1197,1174
Mato Grosso do Sul (MS),14631,14631,183,183
Minas Gerais (MG),82010,82010,1752,1752
Pará (PA),133039,130834,5385,5337
Paraíba (PB),63944,63939,1383,1383
Paraná (PR),47124,47124,1200,1200
Pernambuco (PE),74960,74960,5772,5772
Piauí (PI),36542,35445,1043,1019
Rio de Janeiro (RJ),134449,134449,11757,11757
Rio Grande do Norte (RN),40767,40654,1479,1473
Rio Grande do Sul (RS),42239,42239,1101,1101
Rondônia (RO),27917,27917,668,668
Roraima (RR),24397,23681,415,403
Santa Catarina (SC),47976,47976,569,569
São Paulo (SP),393176,393176,18640,18640
Sergipe (SE),40139,40139,1054,1054
Tocantins (TO),16031,16031,271,271
TOTAL,1972454,1966748,75562,75366
