https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/01/casos-de-coronavirus-no-brasil-em-1-de-abril.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),43,43
Alagoas (AL),18,18
Amapá (AP),11,11
Amazonas (AM),200,200
Bahia (BA),246,246
Ceará (CE),445,445
Distrito Federal(DF),370,370
Espírito Santo (ES),120,120
Goiás (GO),73,73
Maranhão (MA),71,71
Mato Grosso (MT),28,28
Mato Grosso do Sul (MS),51,51
Minas Gerais (MG),314,314
Pará (PA),40,40
Paraíba (PB),21,21
Paraná (PR),229,229
Pernambuco (PE),95,95
Piauí (PI),19,19
Rio de Janeiro (RJ),832,832
Rio Grande do Norte (RN),92,92
Rio Grande do Sul (RS),316,316
Rondônia (RO),9,9
Roraima (RR),26,26
Santa Catarina (SC),247,247
São Paulo (SP),2981,2981
Sergipe (SE),22,22
Tocantins (TO),12,12
TOTAL,6931,6931
