https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/07/brasil-tem-667-mortes-e-13717-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),50,50
Alagoas (AL),34,32
Amapá (AP),51,48
Amazonas (AM),636,636
Bahia (BA),462,456
Ceará (CE),1188,1051
Distrito Federal(DF),492,492
Espírito Santo (ES),227,209
Goiás (GO),133,133
Maranhão (MA),230,172
Mato Grosso (MT),78,78
Mato Grosso do Sul (MS),80,80
Minas Gerais (MG),559,559
Pará (PA),154,138
Paraíba (PB),41,36
Paraná (PR),511,503
Pernambuco (PE),352,352
Piauí (PI),31,28
Rio de Janeiro (RJ),1688,1688
Rio Grande do Norte (RN),254,254
Rio Grande do Sul (RS),555,508
Rondônia (RO),23,18
Roraima (RR),49,42
Santa Catarina (SC),457,417
São Paulo (SP),5682,5682
Sergipe (SE),36,36
Tocantins (TO),19,19
TOTAL,14072,13717
