https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),18745,18745,486,486
Alagoas (AL),55376,55376,1500,1500
Amapá (AP),35220,35220,554,554
Amazonas (AM),96463,96463,3217,3217
Bahia (BA),148179,148179,3182,3182
Ceará (CE),162086,162085,7494,7493
Distrito Federal(DF),96332,96332,1308,1308
Espírito Santo (ES),77201,77200,2411,2411
Goiás (GO),56250,55914,1395,1392
Maranhão (MA),113891,113891,2923,2923
Mato Grosso (MT),43637,43331,1616,1580
Mato Grosso do Sul (MS),21802,21514,319,305
Minas Gerais (MG),112571,112571,2429,2429
Pará (PA),148823,148463,5729,5716
Paraíba (PB),76153,76153,1698,1698
Paraná (PR),67220,67220,1671,1671
Pernambuco (PE),88466,88466,6352,6352
Piauí (PI),46584,46044,1259,1243
Rio de Janeiro (RJ),156325,156325,12835,12835
Rio Grande do Norte (RN),47430,47099,1703,1678
Rio Grande do Sul (RS),59779,59779,1571,1571
Rondônia (RO),35810,35810,814,814
Roraima (RR),29902,29829,474,473
Santa Catarina (SC),68730,68730,907,907
São Paulo (SP),483982,483982,21606,21606
Sergipe (SE),52603,52603,1314,1314
Tocantins (TO),22106,21767,350,346
TOTAL,2421666,2419091,87117,87004
