https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30796,30796,693,693
Alagoas (AL),90789,90789,2238,2238
Amapá (AP),52175,52175,748,748
Amazonas (AM),161683,161683,4543,4543
Bahia (BA),353157,353157,7622,7622
Ceará (CE),274185,274185,9353,9353
Distrito Federal(DF),213245,213245,3683,3683
Espírito Santo (ES),155721,155709,3855,3855
Goiás (GO),255646,255447,5755,5753
Maranhão (MA),185827,185827,4053,4053
Mato Grosso (MT),143638,142902,3853,3798
Mato Grosso do Sul (MS),82618,82344,1602,1592
Minas Gerais (MG),358971,358971,9015,9015
Pará (PA),253080,252919,6751,6743
Paraíba (PB),133149,133149,3101,3101
Paraná (PR),213482,213482,5216,5216
Pernambuco (PE),162893,162893,8627,8627
Piauí (PI),113546,113291,2404,2400
Rio de Janeiro (RJ),309977,309977,20600,20600
Rio Grande do Norte (RN),81518,81176,2586,2577
Rio Grande do Sul (RS),247576,247576,5797,5797
Rondônia (RO),71666,71666,1457,1457
Roraima (RR),57407,57284,692,692
Santa Catarina (SC),258940,258940,3114,3114
São Paulo (SP),1116127,1116127,39311,39311
Sergipe (SE),84326,84326,2206,2206
Tocantins (TO),75625,75569,1097,1097
TOTAL,5537763,5535605,159972,159884
