https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),19930,19930,535,535
Alagoas (AL),60992,60992,1581,1581
Amapá (AP),36595,36595,568,568
Amazonas (AM),101777,101777,3278,3278
Bahia (BA),168926,168926,3517,3517
Ceará (CE),176371,175928,7704,7698
Distrito Federal(DF),107922,107922,1490,1490
Espírito Santo (ES),83814,83814,2566,2566
Goiás (GO),69820,69487,1691,1686
Maranhão (MA),121581,121581,3032,3032
Mato Grosso (MT),53151,52790,1876,1849
Mato Grosso do Sul (MS),26003,25739,404,389
Minas Gerais (MG),129985,129985,2861,2861
Pará (PA),156285,156053,5773,5750
Paraíba (PB),83461,83461,1833,1833
Paraná (PR),77930,77930,1975,1975
Pernambuco (PE),96746,96746,6597,6597
Piauí (PI),52993,52458,1369,1354
Rio de Janeiro (RJ),167213,167213,13556,13556
Rio Grande do Norte (RN),51988,51557,1889,1879
Rio Grande do Sul (RS),70456,70456,1947,1947
Rondônia (RO),39504,39504,881,881
Roraima (RR),33151,32723,513,513
Santa Catarina (SC),86922,86922,1154,1154
São Paulo (SP),552318,552318,23236,23236
Sergipe (SE),59724,59724,1448,1448
Tocantins (TO),26434,25346,395,390
TOTAL,2711992,2707877,93669,93563
