https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),55591,55591,974,974
Alagoas (AL),129046,129046,2949,2949
Amapá (AP),82606,82606,1127,1127
Amazonas (AM),309311,309311,10573,10573
Bahia (BA),660506,660506,11320,11320
Ceará (CE),414492,413050,11072,11040
Distrito Federal(DF),291353,291353,4775,4775
Espírito Santo (ES),320183,320053,6323,6318
Goiás (GO),385847,384124,8383,8362
Maranhão (MA),216647,216647,4962,4962
Mato Grosso (MT),244610,243172,5694,5602
Mato Grosso do Sul (MS),178250,177158,3246,3241
Minas Gerais (MG),847763,847763,17774,17774
Pará (PA),359289,357595,8383,8353
Paraíba (PB),214207,214207,4404,4404
Paraná (PR),623440,623440,11293,11293
Pernambuco (PE),292913,292913,10887,10887
Piauí (PI),171032,170355,3274,3260
Rio de Janeiro (RJ),573275,573275,32403,32403
Rio Grande do Norte (RN),163472,161279,3563,3520
Rio Grande do Sul (RS),612191,612191,11932,11932
Rondônia (RO),144184,144184,2745,2745
Roraima (RR),80472,80097,1074,1061
Santa Catarina (SC),648017,648017,7044,7044
São Paulo (SP),1990554,1990554,58199,58199
Sergipe (SE),148627,148627,2921,2921
Tocantins (TO),111370,110761,1496,1490
TOTAL,10269248,10257875,248790,248529
