https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/04/brasil-tem-431-mortes-e-10278-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),46,46
Alagoas (AL),23,23
Amapá (AP),31,28
Amazonas (AM),311,311
Bahia (BA),336,332
Ceará (CE),769,730
Distrito Federal(DF),456,454
Espírito Santo (ES),166,153
Goiás (GO),103,103
Maranhão (MA),96,88
Mato Grosso (MT),60,62
Mato Grosso do Sul (MS),62,56
Minas Gerais (MG),498,430
Pará (PA),86,80
Paraíba (PB),34,32
Paraná (PR),401,395
Pernambuco (PE),176,176
Piauí (PI),24,22
Rio de Janeiro (RJ),1246,1246
Rio Grande do Norte (RN),215,212
Rio Grande do Sul (RS),418,410
Rondônia (RO),11,11
Roraima (RR),42,37
Santa Catarina (SC),356,334
São Paulo (SP),4466,4466
Sergipe (SE),32,27
Tocantins (TO),16,14
TOTAL,10480,10278
