https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),34246,34246,711,711
Alagoas (AL),93245,93245,2311,2311
Amapá (AP),56085,56085,787,787
Amazonas (AM),172858,172858,4761,4761
Bahia (BA),382164,382164,8061,8061
Ceará (CE),290484,289925,9487,9477
Distrito Federal(DF),222836,222836,3857,3857
Espírito Santo (ES),176903,176903,4101,4101
Goiás (GO),272956,272494,6224,6201
Maranhão (MA),190953,190953,4218,4218
Mato Grosso (MT),154596,153800,4081,4025
Mato Grosso do Sul (MS),91682,90765,1718,1713
Minas Gerais (MG),393110,393110,9688,9688
Pará (PA),265562,264810,6861,6855
Paraíba (PB),141615,141615,3236,3236
Paraná (PR),250898,250898,5832,5832
Pernambuco (PE),174312,174312,8899,8899
Piauí (PI),122518,122007,2574,2568
Rio de Janeiro (RJ),336915,336915,21938,21938
Rio Grande do Norte (RN),86164,84865,2668,2657
Rio Grande do Sul (RS),293221,293221,6447,6447
Rondônia (RO),76729,76729,1515,1515
Roraima (RR),61744,61553,720,720
Santa Catarina (SC),317502,317502,3435,3435
São Paulo (SP),1200348,1200348,41179,41179
Sergipe (SE),86847,86847,2274,2274
Tocantins (TO),79420,79158,1148,1147
TOTAL,6025913,6020164,168731,168613
