https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),47461,47461,860,860
Alagoas (AL),116379,116379,2719,2719
Amapá (AP),76311,76311,1048,1048
Amazonas (AM),259458,259458,7673,7673
Bahia (BA),577707,577707,9987,9987
Ceará (CE),369245,368281,10449,10432
Distrito Federal(DF),274601,274601,4519,4519
Espírito Santo (ES),290609,290609,5794,5794
Goiás (GO),348002,346384,7427,7344
Maranhão (MA),206680,206680,4669,4669
Mato Grosso (MT),213734,212544,5069,4993
Mato Grosso do Sul (MS),159131,159131,2871,2871
Minas Gerais (MG),715967,715967,14699,14699
Pará (PA),327281,325562,7578,7564
Paraíba (PB),188290,188290,4025,4025
Paraná (PR),540452,540452,9879,9879
Pernambuco (PE),256977,256977,10279,10279
Piauí (PI),157775,157469,3045,3039
Rio de Janeiro (RJ),512791,512791,29417,29417
Rio Grande do Norte (RN),138471,138013,3276,3263
Rio Grande do Sul (RS),540157,540157,10567,10567
Rondônia (RO),121975,121975,2192,2192
Roraima (RR),73238,73238,843,843
Santa Catarina (SC),569676,569676,6264,6264
São Paulo (SP),1746070,1746070,52481,52481
Sergipe (SE),135385,135385,2760,2760
Tocantins (TO),101119,101119,1366,1366
TOTAL,9064942,9058687,221756,221547
