https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),11381,11381,300,300
Alagoas (AL),28657,28657,884,884
Amapá (AP),21840,21840,359,359
Amazonas (AM),63410,63410,2657,2657
Bahia (BA),46280,46279,1391,1391
Ceará (CE),92866,92866,5523,5523
Distrito Federal(DF),33227,33227,423,423
Espírito Santo (ES),34866,34858,1328,1326
Goiás (GO),15904,15619,306,303
Maranhão (MA),70059,70059,1721,1721
Mato Grosso (MT),9776,9470,370,360
Mato Grosso do Sul (MS),5237,5237,45,45
Minas Gerais (MG),27641,27641,661,661
Pará (PA),86020,84654,4605,4583
Paraíba (PB),36784,36784,766,766
Paraná (PR),14501,14501,451,451
Pernambuco (PE),52113,52113,4234,4234
Piauí (PI),14476,14264,502,485
Rio de Janeiro (RJ),96133,96133,8875,8875
Rio Grande do Norte (RN),19290,19290,697,697
Rio Grande do Sul (RS),19348,19348,434,434
Rondônia (RO),15181,15181,417,417
Roraima (RR),8120,8120,251,251
Santa Catarina (SC),17582,17582,246,246
São Paulo (SP),219185,219185,12588,12588
Sergipe (SE),18985,18985,462,462
Tocantins (TO),8354,8354,175,175
TOTAL,1087216,1085038,50671,50617
