https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25249,25249,623,623
Alagoas (AL),80103,80103,1917,1917
Amapá (AP),44454,44454,670,670
Amazonas (AM),123187,123187,3841,3834
Bahia (BA),268137,268137,5590,5590
Ceará (CE),230105,230105,8563,8555
Distrito Federal(DF),167200,167200,2681,2681
Espírito Santo (ES),114700,114700,3235,3235
Goiás (GO),146511,145250,3440,3400
Maranhão (MA),157052,157052,3488,3488
Mato Grosso (MT),97550,96980,2923,2873
Mato Grosso do Sul (MS),52406,52406,941,939
Minas Gerais (MG),228013,228013,5708,5708
Pará (PA),206864,205291,6240,6228
Paraíba (PB),108925,108925,2517,2517
Paraná (PR),139780,139780,3505,3505
Pernambuco (PE),131230,131230,7645,7645
Piauí (PI),81626,80750,1884,1868
Rio de Janeiro (RJ),232489,232489,16467,16467
Rio Grande do Norte (RN),63507,63289,2289,2281
Rio Grande do Sul (RS),137217,137217,3650,3650
Rondônia (RO),57353,57352,1172,1172
Roraima (RR),44975,44665,598,598
Santa Catarina (SC),186596,186596,2376,2376
São Paulo (SP),845016,845016,31091,31091
Sergipe (SE),73383,73383,1880,1880
Tocantins (TO),54013,54013,730,730
TOTAL,4097641,4092832,125664,125521
