https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),24638,24638,609,609
Alagoas (AL),78637,78637,1878,1878
Amapá (AP),42892,42892,660,660
Amazonas (AM),120060,120060,3639,3639
Bahia (BA),256062,256062,5344,5344
Ceará (CE),214457,214457,8384,8384
Distrito Federal(DF),160796,160796,2469,2469
Espírito Santo (ES),110351,110351,3135,3135
Goiás (GO),130977,130863,3089,3075
Maranhão (MA),151212,151212,3436,3436
Mato Grosso (MT),90895,90337,2777,2725
Mato Grosso do Sul (MS),48522,48522,851,851
Minas Gerais (MG),215050,215050,5326,5326
Pará (PA),199556,199171,6146,6115
Paraíba (PB),105661,105661,2435,2435
Paraná (PR),130603,130603,3251,3251
Pernambuco (PE),125094,125094,7574,7574
Piauí (PI),77405,77265,1825,1815
Rio de Janeiro (RJ),223302,223302,16027,16027
Rio Grande do Norte (RN),61704,61649,2248,2248
Rio Grande do Sul (RS),124482,124482,3395,3395
Rondônia (RO),54679,54679,1129,1129
Roraima (RR),43518,43470,587,587
Santa Catarina (SC),146864,146864,2235,2235
São Paulo (SP),803404,803404,29978,29978
Sergipe (SE),72417,72417,1844,1844
Tocantins (TO),50373,50373,664,664
TOTAL,3863611,3862311,120935,120828
