https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),36899,36899,730,730
Alagoas (AL),95643,95643,2346,2346
Amapá (AP),60391,60391,819,819
Amazonas (AM),180842,180842,4932,4932
Bahia (BA),412685,412685,8336,8336
Ceará (CE),303168,303168,9657,9657
Distrito Federal(DF),231426,231426,3962,3962
Espírito Santo (ES),195437,195255,4349,4347
Goiás (GO),284568,283834,6420,6401
Maranhão (MA),194320,194320,4322,4322
Mato Grosso (MT),161116,160284,4164,4108
Mato Grosso do Sul (MS),103433,102236,1818,1804
Minas Gerais (MG),428790,428790,10187,10187
Pará (PA),273753,273126,6939,6933
Paraíba (PB),147274,147274,3326,3326
Paraná (PR),293969,293969,6314,6314
Pernambuco (PE),187038,187038,9098,9098
Piauí (PI),129825,129096,2658,2650
Rio de Janeiro (RJ),365185,365185,22891,22891
Rio Grande do Norte (RN),97547,96855,2726,2711
Rio Grande do Sul (RS),337003,337003,7043,7043
Rondônia (RO),81733,81733,1586,1586
Roraima (RR),64317,64174,740,739
Santa Catarina (SC),383577,383577,3898,3898
São Paulo (SP),1267912,1267912,42637,42637
Sergipe (SE),91718,91718,2320,2320
Tocantins (TO),82995,82651,1175,1173
TOTAL,6492564,6487084,175393,175270
