https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),14622,14622,391,391
Alagoas (AL),39935,39935,1153,1153
Amapá (AP),29883,29883,442,442
Amazonas (AM),76014,76014,2929,2929
Bahia (BA),87048,87048,2107,2107
Ceará (CE),121986,121464,6441,6441
Distrito Federal(DF),57854,57854,699,699
Espírito Santo (ES),53393,53393,1804,1804
Goiás (GO),28526,28526,621,621
Maranhão (MA),89714,89714,2219,2219
Mato Grosso (MT),21081,20891,821,807
Mato Grosso do Sul (MS),10089,10089,117,117
Minas Gerais (MG),58283,58283,1201,1201
Pará (PA),114535,113811,5105,5096
Paraíba (PB),52733,52728,1099,1099
Paraná (PR),31459,31459,795,795
Pernambuco (PE),65129,65129,5143,5143
Piauí (PI),26511,26079,809,784
Rio de Janeiro (RJ),121292,121292,10667,10667
Rio Grande do Norte (RN),34717,34645,1219,1213
Rio Grande do Sul (RS),31955,31955,727,727
Rondônia (RO),23479,23479,555,555
Roraima (RR),18948,18922,371,368
Santa Catarina (SC),32969,32969,393,393
São Paulo (SP),320179,320179,16078,16078
Sergipe (SE),30217,30217,798,798
Tocantins (TO),12476,12475,220,220
TOTAL,1605027,1603055,64924,64867
