https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21993,21993,569,569
Alagoas (AL),69751,69751,1711,1711
Amapá (AP),38801,38801,606,606
Amazonas (AM),108920,108920,3417,3417
Bahia (BA),203020,203020,4135,4135
Ceará (CE),192652,192422,8076,8052
Distrito Federal(DF),129184,129184,1870,1870
Espírito Santo (ES),95753,95753,2805,2805
Goiás (GO),95235,93274,2182,2135
Maranhão (MA),133265,133265,3215,3215
Mato Grosso (MT),69085,68924,2264,2221
Mato Grosso do Sul (MS),33509,33509,559,558
Minas Gerais (MG),160485,160485,3783,3783
Pará (PA),173625,171878,5917,5909
Paraíba (PB),92897,92897,2071,2071
Paraná (PR),97785,97785,2516,2516
Pernambuco (PE),107375,107375,7049,7049
Piauí (PI),63662,62465,1567,1548
Rio de Janeiro (RJ),185610,185610,14295,14295
Rio Grande do Norte (RN),58132,56572,2019,2019
Rio Grande do Sul (RS),90049,90049,2540,2540
Rondônia (RO),46061,46061,981,981
Roraima (RR),38270,37579,561,555
Santa Catarina (SC),112401,112401,1637,1637
São Paulo (SP),655181,655181,25869,25869
Sergipe (SE),65865,65865,1653,1653
Tocantins (TO),33766,33766,482,482
TOTAL,3172332,3164785,104349,104201
