https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),23322,23322,595,595
Alagoas (AL),74622,74622,1793,1793
Amapá (AP),40603,40603,626,626
Amazonas (AM),114335,114335,3551,3551
Bahia (BA),228596,228596,4685,4685
Ceará (CE),202422,202422,8245,8245
Distrito Federal(DF),143759,143759,2200,2200
Espírito Santo (ES),104169,104037,2980,2980
Goiás (GO),112002,111836,2625,2558
Maranhão (MA),141860,141860,3315,3315
Mato Grosso (MT),79715,78733,2518,2457
Mato Grosso do Sul (MS),40201,40201,686,686
Minas Gerais (MG),185062,185062,4543,4543
Pará (PA),186646,184253,6037,6027
Paraíba (PB),99445,99445,2244,2244
Paraná (PR),112245,112245,2891,2891
Pernambuco (PE),116359,116359,7303,7303
Piauí (PI),70536,69839,1672,1660
Rio de Janeiro (RJ),205916,205916,15074,15074
Rio Grande do Norte (RN),59335,59138,2139,2133
Rio Grande do Sul (RS),104068,104068,2948,2948
Rondônia (RO),50147,50147,1045,1045
Roraima (RR),41191,40989,576,576
Santa Catarina (SC),129072,129072,1960,1960
São Paulo (SP),730828,730828,27905,27905
Sergipe (SE),69502,69502,1757,1757
Tocantins (TO),40786,40786,547,547
TOTAL,3506744,3501975,112460,112304
