https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),22516,22516,576,576
Alagoas (AL),72076,72076,1742,1742
Amapá (AP),39431,39431,613,613
Amazonas (AM),111241,111241,3463,3463
Bahia (BA),214379,214379,4338,4338
Ceará (CE),197381,197381,8129,8129
Distrito Federal(DF),135014,135014,1959,1958
Espírito Santo (ES),98765,98765,2864,2864
Goiás (GO),101305,100938,2322,2286
Maranhão (MA),136280,136280,3253,3253
Mato Grosso (MT),72791,72761,2363,2319
Mato Grosso do Sul (MS),36542,36542,598,598
Minas Gerais (MG),171514,171514,4044,4044
Pará (PA),177969,177010,5940,5932
Paraíba (PB),95588,95588,2138,2138
Paraná (PR),103771,103771,2665,2665
Pernambuco (PE),111773,111773,7156,7156
Piauí (PI),67078,65638,1608,1594
Rio de Janeiro (RJ),190614,190614,14526,14526
Rio Grande do Norte (RN),58072,57660,2068,2062
Rio Grande do Sul (RS),97445,97445,2647,2647
Rondônia (RO),47652,47652,1012,1012
Roraima (RR),39623,39397,568,568
Santa Catarina (SC),120001,120001,1767,1767
São Paulo (SP),697530,697530,26780,26780
Sergipe (SE),67701,67701,1696,1696
Tocantins (TO),36478,36478,506,506
TOTAL,3320530,3317096,107341,107232
