https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),43127,43127,825,825
Alagoas (AL),108542,108542,2561,2561
Amapá (AP),70902,70902,969,969
Amazonas (AM),213961,213961,5701,5701
Bahia (BA),512841,512841,9424,9424
Ceará (CE),345002,344813,10159,10155
Distrito Federal(DF),258811,258811,4356,4356
Espírito Santo (ES),263504,263483,5321,5321
Goiás (GO),317477,317322,6965,6964
Maranhão (MA),201945,201945,4562,4562
Mato Grosso (MT),189359,188098,4684,4595
Mato Grosso do Sul (MS),143596,143596,2546,2546
Minas Gerais (MG),592311,592311,12709,12709
Pará (PA),302125,301501,7315,7304
Paraíba (PB),172776,172776,3808,3808
Paraná (PR),473279,473279,8749,8749
Pernambuco (PE),232037,232037,9840,9840
Piauí (PI),147509,147038,2906,2897
Rio de Janeiro (RJ),460927,460927,26749,26749
Rio Grande do Norte (RN),124467,124278,3100,3090
Rio Grande do Sul (RS),480480,480480,9439,9439
Rondônia (RO),101588,101588,1911,1911
Roraima (RR),69785,69732,793,793
Santa Catarina (SC),520577,520577,5637,5637
São Paulo (SP),1546132,1546132,48351,48351
Sergipe (SE),122594,122594,2574,2574
Tocantins (TO),93099,93099,1270,1270
TOTAL,8108753,8105790,203224,203100
