https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/08/casos-de-coronavirus-no-brasil-em-8-de-abril.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),58,54
Alagoas (AL),37,37
Amapá (AP),107,107
Amazonas (AM),804,804
Bahia (BA),515,497
Ceará (CE),1374,1291
Distrito Federal(DF),511,509
Espírito Santo (ES),273,227
Goiás (GO),159,158
Maranhão (MA),230,230
Mato Grosso (MT),90,90
Mato Grosso do Sul (MS),85,85
Minas Gerais (MG),614,614
Pará (PA),167,167
Paraíba (PB),55,41
Paraná (PR),550,539
Pernambuco (PE),401,401
Piauí (PI),31,31
Rio de Janeiro (RJ),1938,1938
Rio Grande do Norte (RN),261,261
Rio Grande do Sul (RS),581,555
Rondônia (RO),26,18
Roraima (RR),52,49
Santa Catarina (SC),501,457
São Paulo (SP),6708,6708
Sergipe (SE),36,36
Tocantins (TO),23,23
TOTAL,16187,15927
