https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),18783,18783,493,493
Alagoas (AL),56204,56204,1514,1514
Amapá (AP),35364,35364,556,556
Amazonas (AM),97079,97079,3224,3224
Bahia (BA),149109,149109,3227,3227
Ceará (CE),162429,162429,7509,7509
Distrito Federal(DF),98480,98480,1339,1339
Espírito Santo (ES),78180,78037,2437,2436
Goiás (GO),59043,57985,1457,1400
Maranhão (MA),114585,114585,2943,2943
Mato Grosso (MT),45155,44838,1664,1625
Mato Grosso do Sul (MS),22443,21802,328,319
Minas Gerais (MG),113718,113718,2461,2461
Pará (PA),150616,148823,5753,5729
Paraíba (PB),76693,76693,1727,1727
Paraná (PR),68001,68001,1703,1703
Pernambuco (PE),89132,89132,6376,6376
Piauí (PI),47551,46584,1278,1259
Rio de Janeiro (RJ),157834,157834,12876,12876
Rio Grande do Norte (RN),48515,47291,1720,1697
Rio Grande do Sul (RS),60044,60044,1611,1611
Rondônia (RO),36148,36148,830,830
Roraima (RR),30316,29902,479,474
Santa Catarina (SC),70138,70138,924,924
São Paulo (SP),487654,487654,21676,21676
Sergipe (SE),53612,53612,1340,1340
Tocantins (TO),22851,22106,357,350
TOTAL,2449677,2442375,87802,87618
