https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/18/casos-de-coronavirus-no-brasil-em-18-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),3,0
Alagoas (AL),1,1
Amapá (AP),0,0
Amazonas (AM),2,1
Bahia (BA),27,3
Ceará (CE),20,9
Distrito Federal(DF),36,26
Espírito Santo (ES),11,9
Goiás (GO),12,8
Maranhão (MA),0,0
Mato Grosso (MT),0,0
Mato Grosso do Sul (MS),7,7
Minas Gerais (MG),19,15
Pará (PA),1,0
Paraíba (PB),1,0
Paraná (PR),14,13
Pernambuco (PE),22,16
Piauí (PI),0,0
Rio de Janeiro (RJ),63,45
Rio Grande do Norte (RN),1,1
Rio Grande do Sul (RS),28,19
Rondônia (RO),0,0
Roraima (RR),0,0
Santa Catarina (SC),14,10
São Paulo (SP),240,240
Sergipe (SE),6,5
Tocantins (TO),1,0
TOTAL,529,428
