https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30638,30638,692,692
Alagoas (AL),90564,90564,2230,2230
Amapá (AP),51875,51875,746,746
Amazonas (AM),160596,160596,4516,4516
Bahia (BA),351277,351277,7571,7571
Ceará (CE),273194,272778,9335,9326
Distrito Federal(DF),212140,212140,3670,3670
Espírito Santo (ES),154131,154003,3841,3841
Goiás (GO),255088,253974,5732,5690
Maranhão (MA),185341,185156,4034,4034
Mato Grosso (MT),143047,142304,3841,3786
Mato Grosso do Sul (MS),81998,81443,1588,1581
Minas Gerais (MG),355226,355226,8916,8916
Pará (PA),252389,251292,6738,6736
Paraíba (PB),132231,132231,3083,3083
Paraná (PR),211861,211861,5174,5174
Pernambuco (PE),161740,161740,8599,8599
Piauí (PI),112765,112200,2392,2382
Rio de Janeiro (RJ),308017,308017,20462,20462
Rio Grande do Norte (RN),81423,80950,2584,2573
Rio Grande do Sul (RS),243402,243402,5729,5729
Rondônia (RO),71351,71351,1454,1454
Roraima (RR),57002,56733,692,692
Santa Catarina (SC),254488,254488,3077,3077
São Paulo (SP),1108860,1108860,39119,39119
Sergipe (SE),84171,84171,2195,2195
Tocantins (TO),75425,75106,1097,1095
TOTAL,5500240,5494376,159107,158969
