https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),26287,26287,642,642
Alagoas (AL),82595,82595,1991,1991
Amapá (AP),46117,46117,682,682
Amazonas (AM),128150,128150,3907,3907
Bahia (BA),285448,285448,6040,6040
Ceará (CE),229250,229072,8749,8739
Distrito Federal(DF),178747,178747,2970,2970
Espírito Santo (ES),120974,120916,3376,3372
Goiás (GO),171120,170064,3927,3885
Maranhão (MA),163802,163802,3601,3601
Mato Grosso (MT),108117,107486,3172,3124
Mato Grosso do Sul (MS),60297,60297,1106,1106
Minas Gerais (MG),255606,255606,6328,6328
Pará (PA),217500,216318,6405,6387
Paraíba (PB),113903,113903,2649,2649
Paraná (PR),155820,155820,3918,3918
Pernambuco (PE),137869,137869,7914,7914
Piauí (PI),87959,87213,1996,1988
Rio de Janeiro (RJ),244418,244418,17180,17180
Rio Grande do Norte (RN),65873,65647,2334,2326
Rio Grande do Sul (RS),160940,160940,4174,4174
Rondônia (RO),61260,61260,1269,1269
Roraima (RR),46848,46848,611,611
Santa Catarina (SC),200241,200241,2569,2569
São Paulo (SP),901271,901271,32963,32963
Sergipe (SE),75203,75203,1962,1962
Tocantins (TO),60725,60725,822,822
TOTAL,4386340,4382263,133257,133119
