https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),13715,13715,370,370
Alagoas (AL),36819,36819,1072,1072
Amapá (AP),28927,28927,420,420
Amazonas (AM),72284,72284,2843,2843
Bahia (BA),76485,76485,1902,1902
Ceará (CE),114038,113017,6203,6180
Distrito Federal(DF),50676,50676,620,620
Espírito Santo (ES),48821,48821,1693,1693
Goiás (GO),26192,25541,521,503
Maranhão (MA),83256,83256,2081,2081
Mato Grosso (MT),17401,16621,665,634
Mato Grosso do Sul (MS),8676,8676,89,85
Minas Gerais (MG),47584,47584,1007,1007
Pará (PA),108067,105853,5004,4960
Paraíba (PB),48175,48175,1002,1002
Paraná (PR),24225,24225,663,663
Pernambuco (PE),59705,59705,4894,4894
Piauí (PI),23307,22059,697,686
Rio de Janeiro (RJ),115278,115278,10198,10198
Rio Grande do Norte (RN),31899,31899,1067,1067
Rio Grande do Sul (RS),28171,28171,636,636
Rondônia (RO),21523,21462,523,520
Roraima (RR),17583,15153,354,314
Santa Catarina (SC),27279,27279,347,347
São Paulo (SP),289935,289935,15030,15030
Sergipe (SE),25915,25915,702,701
Tocantins (TO),11222,11222,204,204
TOTAL,1457158,1448753,60807,60632
