https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),26716,26716,646,646
Alagoas (AL),83035,83035,2002,2002
Amapá (AP),46372,46372,688,688
Amazonas (AM),129501,129501,3931,3931
Bahia (BA),289655,289655,6132,6132
Ceará (CE),231510,231438,8781,8774
Distrito Federal(DF),180844,180844,3022,3022
Espírito Santo (ES),122471,122471,3399,3399
Goiás (GO),178413,176801,4057,3995
Maranhão (MA),165499,165499,3622,3622
Mato Grosso (MT),110705,110147,3226,3178
Mato Grosso do Sul (MS),62817,61794,1148,1133
Minas Gerais (MG),262001,262001,6500,6500
Pará (PA),219220,218458,6438,6421
Paraíba (PB),115359,115359,2670,2670
Paraná (PR),159799,159799,4018,4018
Pernambuco (PE),139325,139325,7954,7954
Piauí (PI),89443,88671,2012,2007
Rio de Janeiro (RJ),246843,246843,17453,17453
Rio Grande do Norte (RN),66884,66322,2349,2333
Rio Grande do Sul (RS),167781,167781,4268,4268
Rondônia (RO),62158,62158,1289,1289
Roraima (RR),47692,47398,613,611
Santa Catarina (SC),202934,202934,2609,2609
São Paulo (SP),916821,916821,33472,33472
Sergipe (SE),75560,75560,1968,1968
Tocantins (TO),62498,61683,850,840
TOTAL,4461856,4455386,135117,134935
