https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),31926,31926,704,704
Alagoas (AL),91939,91939,2278,2278
Amapá (AP),53574,53574,766,766
Amazonas (AM),166771,166771,4650,4650
Bahia (BA),365941,365941,7838,7838
Ceará (CE),279322,279322,9416,9416
Distrito Federal(DF),217370,217370,3775,3775
Espírito Santo (ES),164659,164518,3953,3951
Goiás (GO),264271,263444,5874,5874
Maranhão (MA),188313,188313,4138,4138
Mato Grosso (MT),148015,147265,3932,3877
Mato Grosso do Sul (MS),85990,85507,1645,1640
Minas Gerais (MG),372482,372482,9204,9204
Pará (PA),259189,258311,6802,6799
Paraíba (PB),136029,136029,3166,3166
Paraná (PR),223870,223870,5497,5497
Pernambuco (PE),167233,167233,8763,8763
Piauí (PI),118349,117732,2486,2482
Rio de Janeiro (RJ),318953,318953,20905,20905
Rio Grande do Norte (RN),83309,82861,2620,2607
Rio Grande do Sul (RS),264576,264576,6001,6001
Rondônia (RO),73688,73688,1482,1482
Roraima (RR),59586,59273,701,695
Santa Catarina (SC),280541,280541,3243,3243
São Paulo (SP),1147451,1125936,39717,39717
Sergipe (SE),85574,85574,2246,2246
Tocantins (TO),77306,77095,1120,1115
TOTAL,5726227,5700044,162922,162829
