https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/15/casos-de-coronavirus-no-brasil-em-15-de-abril.ghtml,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),101,101,3
Alagoas (AL),83,82,5
Amapá (AP),342,334,7
Amazonas (AM),1554,1554,106
Bahia (BA),884,807,27
Ceará (CE),2291,2157,116
Distrito Federal(DF),696,682,17
Espírito Santo (ES),754,557,18
Goiás (GO),304,304,15
Maranhão (MA),685,630,34
Mato Grosso (MT),151,151,4
Mato Grosso do Sul (MS),121,121,4
Minas Gerais (MG),903,903,30
Pará (PA),487,384,21
Paraíba (PB),165,151,21
Paraná (PR),816,803,38
Pernambuco (PE),1484,1484,143
Piauí (PI),91,75,8
Rio de Janeiro (RJ),3743,3743,265
Rio Grande do Norte (RN),399,399,19
Rio Grande do Sul (RS),747,747,19
Rondônia (RO),73,69,2
Roraima (RR),114,114,3
Santa Catarina (SC),884,853,28
São Paulo (SP),11043,11043,778
Sergipe (SE),47,46,4
Tocantins (TO),28,26,1
TOTAL,28990,28320,
