https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),38363,38363,749,749
Alagoas (AL),98177,98177,2372,2372
Amapá (AP),63042,63042,849,849
Amazonas (AM),186274,186274,4998,4998
Bahia (BA),443465,443465,8589,8589
Ceará (CE),314674,314674,9774,9774
Distrito Federal(DF),238634,238634,4059,4059
Espírito Santo (ES),212304,211992,4560,4559
Goiás (GO),293418,292689,6549,6534
Maranhão (MA),197006,197006,4375,4375
Mato Grosso (MT),166734,165871,4251,4194
Mato Grosso do Sul (MS),113298,112876,1931,1913
Minas Gerais (MG),464545,464545,10645,10645
Pará (PA),280272,279600,6998,6989
Paraíba (PB),153556,153556,3430,3430
Paraná (PR),327299,327299,6760,6760
Pernambuco (PE),198426,198426,9271,9271
Piauí (PI),134717,134429,2722,2720
Rio de Janeiro (RJ),388431,388431,23718,23718
Rio Grande do Norte (RN),103916,102846,2803,2790
Rio Grande do Sul (RS),372699,372699,7578,7578
Rondônia (RO),85410,85410,1638,1638
Roraima (RR),66407,66221,755,755
Santa Catarina (SC),426095,426095,4334,4334
São Paulo (SP),1333763,1333763,43971,43971
Sergipe (SE),98472,98472,2361,2361
Tocantins (TO),85385,85272,1201,1198
TOTAL,6884782,6880127,181241,181123
