https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),44068,44068,832,832
Alagoas (AL),110112,110112,2593,2593
Amapá (AP),72422,72422,991,991
Amazonas (AM),223360,223360,5930,5930
Bahia (BA),523068,523068,9543,9543
Ceará (CE),350571,349575,10209,10209
Distrito Federal(DF),262222,262222,4399,4399
Espírito Santo (ES),271041,270913,5450,5448
Goiás (GO),326130,324917,7065,7020
Maranhão (MA),202839,202839,4588,4588
Mato Grosso (MT),195988,194917,4747,4674
Mato Grosso do Sul (MS),147249,147249,2625,2625
Minas Gerais (MG),619846,619846,13028,13028
Pará (PA),307520,306029,7376,7366
Paraíba (PB),175227,175227,3857,3857
Paraná (PR),492654,492654,8977,8977
Pernambuco (PE),237453,237453,9946,9946
Piauí (PI),150374,149686,2935,2930
Rio de Janeiro (RJ),473648,473648,27441,27441
Rio Grande do Norte (RN),127627,126890,3154,3138
Rio Grande do Sul (RS),495585,495585,9790,9790
Rondônia (RO),105952,105952,1976,1976
Roraima (RR),70475,70346,805,800
Santa Catarina (SC),533338,533338,5794,5794
São Paulo (SP),1590829,1590829,49289,49289
Sergipe (SE),126204,126204,2617,2617
Tocantins (TO),94945,94945,1294,1294
TOTAL,8330747,8324294,207251,207095
