https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),49547,49547,879,879
Alagoas (AL),119088,119088,2771,2771
Amapá (AP),77989,77989,1069,1069
Amazonas (AM),273862,273862,8564,8564
Bahia (BA),596140,596140,10216,10216
Ceará (CE),378191,378191,10556,10556
Distrito Federal(DF),278972,278972,4582,4582
Espírito Santo (ES),297761,297610,5930,5930
Goiás (GO),356274,355325,7599,7586
Maranhão (MA),208724,208724,4730,4730
Mato Grosso (MT),221852,220165,5214,5129
Mato Grosso do Sul (MS),163692,163003,2972,2958
Minas Gerais (MG),746919,746919,15315,15315
Pará (PA),334704,333052,7695,7685
Paraíba (PB),194519,194519,4096,4096
Paraná (PR),558770,558770,10190,10190
Pernambuco (PE),265349,265349,10399,10399
Piauí (PI),160948,160252,3092,3087
Rio de Janeiro (RJ),529525,529525,30172,30172
Rio Grande do Norte (RN),143466,141663,3339,3312
Rio Grande do Sul (RS),554353,554353,10826,10826
Rondônia (RO),127713,127713,2293,2293
Roraima (RR),74960,74705,880,871
Santa Catarina (SC),584537,584537,6445,6445
São Paulo (SP),1807009,1807009,53704,53704
Sergipe (SE),139223,139223,2801,2801
Tocantins (TO),103616,103215,1402,1397
TOTAL,9347703,9339420,227731,227563
