https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25135,25135,622,622
Alagoas (AL),79797,79797,1910,1910
Amapá (AP),44064,44064,669,669
Amazonas (AM),122520,122520,3828,3828
Bahia (BA),265739,265739,5549,5549
Ceará (CE),220040,219672,8532,8493
Distrito Federal(DF),165903,165903,2641,2641
Espírito Santo (ES),113759,113759,3221,3221
Goiás (GO),143193,140416,3385,3345
Maranhão (MA),155717,155717,3478,3478
Mato Grosso (MT),96349,95430,2893,2845
Mato Grosso do Sul (MS),51575,51575,916,914
Minas Gerais (MG),224987,224987,5591,5591
Pará (PA),205291,203969,6228,6215
Paraíba (PB),108182,108182,2501,2501
Paraná (PR),137865,137865,3449,3449
Pernambuco (PE),130199,130199,7656,7619
Piauí (PI),80750,79719,1868,1855
Rio de Janeiro (RJ),230271,230271,16394,16394
Rio Grande do Norte (RN),63071,62855,2286,2278
Rio Grande do Sul (RS),134610,134610,3590,3590
Rondônia (RO),56618,56618,1165,1165
Roraima (RR),44665,44334,598,596
Santa Catarina (SC),184204,184204,2352,2352
São Paulo (SP),837978,837978,30905,30905
Sergipe (SE),73182,73182,1877,1877
Tocantins (TO),52938,52938,712,712
TOTAL,4048602,4041638,124816,124614
