https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30317,30317,689,689
Alagoas (AL),90254,90254,2216,2216
Amapá (AP),51192,51192,741,741
Amazonas (AM),157668,157668,4460,4460
Bahia (BA),345949,345949,7497,7497
Ceará (CE),270867,270577,9293,9279
Distrito Federal(DF),210145,210145,3641,3641
Espírito Santo (ES),151276,151185,3799,3799
Goiás (GO),249341,248361,5618,5599
Maranhão (MA),184122,184122,4003,4003
Mato Grosso (MT),140997,140273,3804,3749
Mato Grosso do Sul (MS),80538,80064,1566,1555
Minas Gerais (MG),349512,349512,8779,8779
Pará (PA),249235,248024,6729,6725
Paraíba (PB),130916,130916,3062,3062
Paraná (PR),208251,208251,5107,5107
Pernambuco (PE),159476,159476,8564,8564
Piauí (PI),110864,110278,2363,2352
Rio de Janeiro (RJ),302746,302746,20213,20213
Rio Grande do Norte (RN),80403,79908,2573,2563
Rio Grande do Sul (RS),235673,235673,5615,5615
Rondônia (RO),70600,70600,1442,1442
Roraima (RR),56182,55951,691,691
Santa Catarina (SC),247477,247477,3041,3041
São Paulo (SP),1092843,1092843,38753,38753
Sergipe (SE),83863,83863,2178,2178
Tocantins (TO),74500,74229,1089,1084
TOTAL,5415207,5409854,157526,157397
