https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),54743,54743,957,957
Alagoas (AL),127843,127843,2923,2923
Amapá (AP),81874,81874,1121,1121
Amazonas (AM),305250,305250,10409,10409
Bahia (BA),651484,651484,11128,11128
Ceará (CE),408692,407697,10944,10938
Distrito Federal(DF),288977,288977,4747,4747
Espírito Santo (ES),316564,316473,6264,6264
Goiás (GO),380094,379981,8278,8275
Maranhão (MA),215857,215857,4924,4924
Mato Grosso (MT),241458,240059,5615,5524
Mato Grosso do Sul (MS),175544,175113,3204,3198
Minas Gerais (MG),837041,837041,17594,17594
Pará (PA),355128,354587,8278,8266
Paraíba (PB),211282,211282,4344,4344
Paraná (PR),612084,612084,11120,11120
Pernambuco (PE),289556,289556,10839,10839
Piauí (PI),169465,169186,3242,3238
Rio de Janeiro (RJ),571434,571434,32167,32167
Rio Grande do Norte (RN),160671,159821,3482,3472
Rio Grande do Sul (RS),602668,602668,11753,11753
Rondônia (RO),141709,141709,2685,2685
Roraima (RR),79606,79444,1037,1037
Santa Catarina (SC),636445,636445,6929,6929
São Paulo (SP),1971423,1971423,57743,57743
Sergipe (SE),147599,147599,2906,2906
Tocantins (TO),109841,109518,1481,1476
TOTAL,10144332,10139148,246114,245977
