https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),38712,38712,755,755
Alagoas (AL),99238,99238,2384,2384
Amapá (AP),63989,63601,858,854
Amazonas (AM),187930,187930,5026,5026
Bahia (BA),451240,451240,8665,8665
Ceará (CE),319989,316681,9857,9802
Distrito Federal(DF),240869,240869,4095,4095
Espírito Santo (ES),217938,216714,4630,4612
Goiás (GO),296190,295655,6586,6586
Maranhão (MA),197684,197684,4393,4393
Mato Grosso (MT),168657,167782,4282,4225
Mato Grosso do Sul (MS),116612,114631,1978,1967
Minas Gerais (MG),473225,473225,10719,10719
Pará (PA),282719,281667,7018,7013
Paraíba (PB),154734,154734,3469,3469
Paraná (PR),339695,339695,6919,6919
Pernambuco (PE),199780,199780,9324,9324
Piauí (PI),135769,135239,2743,2735
Rio de Janeiro (RJ),391350,391350,23887,23887
Rio Grande do Norte (RN),106643,104855,2842,2821
Rio Grande do Sul (RS),382251,382251,7766,7766
Rondônia (RO),86909,86909,1655,1655
Roraima (RR),66574,66515,764,761
Santa Catarina (SC),435547,435547,4504,4504
São Paulo (SP),1341428,1341428,44282,44282
Sergipe (SE),100371,100371,2374,2374
Tocantins (TO),86180,85731,1208,1206
TOTAL,6982223,6970034,182983,182799
