https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),35920,35920,723,723
Alagoas (AL),94613,94613,2334,2334
Amapá (AP),58835,58835,806,806
Amazonas (AM),177800,177800,4876,4876
Bahia (BA),398504,398504,8227,8227
Ceará (CE),299590,299290,9607,9598
Distrito Federal(DF),228075,228075,3920,3920
Espírito Santo (ES),188342,186574,4245,4224
Goiás (GO),278880,278809,6348,6344
Maranhão (MA),193053,193053,4279,4279
Mato Grosso (MT),158314,157500,4127,4071
Mato Grosso do Sul (MS),98363,97605,1766,1757
Minas Gerais (MG),412996,412996,9990,9990
Pará (PA),270368,269870,6907,6901
Paraíba (PB),145110,145110,3288,3288
Paraná (PR),276185,276185,6107,6107
Pernambuco (PE),181392,181392,9019,9019
Piauí (PI),126721,125675,2622,2617
Rio de Janeiro (RJ),352760,352760,22539,22539
Rio Grande do Norte (RN),94482,93372,2695,2684
Rio Grande do Sul (RS),318936,318936,6768,6768
Rondônia (RO),79765,79765,1553,1553
Roraima (RR),63234,62816,727,727
Santa Catarina (SC),355950,355950,3701,3701
São Paulo (SP),1238094,1238094,42048,42048
Sergipe (SE),89507,89507,2300,2300
Tocantins (TO),81469,81266,1162,1160
TOTAL,6297258,6290272,172684,172561
