https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42478,42478,821,821
Alagoas (AL),107279,107279,2537,2537
Amapá (AP),69874,69874,956,956
Amazonas (AM),208798,208798,5546,5546
Bahia (BA),505918,505918,9333,9333
Ceará (CE),342201,341276,10106,10096
Distrito Federal(DF),256682,256682,4337,4337
Espírito Santo (ES),258941,258799,5265,5259
Goiás (GO),315563,314466,6933,6918
Maranhão (MA),201641,201641,4542,4542
Mato Grosso (MT),186831,185825,4632,4564
Mato Grosso do Sul (MS),140463,140463,2486,2486
Minas Gerais (MG),571657,571657,12366,12366
Pará (PA),299045,297974,7280,7263
Paraíba (PB),170611,170611,3773,3773
Paraná (PR),463309,463309,8630,8630
Pernambuco (PE),228451,228451,9763,9763
Piauí (PI),145997,145384,2891,2882
Rio de Janeiro (RJ),452758,452758,26292,26292
Rio Grande do Norte (RN),122099,121439,3081,3067
Rio Grande do Sul (RS),470138,470138,9293,9293
Rondônia (RO),99595,99595,1890,1890
Roraima (RR),69461,69326,793,793
Santa Catarina (SC),511329,511329,5522,5522
São Paulo (SP),1515158,1515158,47768,47768
Sergipe (SE),119045,119045,2544,2544
Tocantins (TO),92000,92000,1257,1257
TOTAL,7967322,7961673,200637,200498
