https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),45208,45208,839,839
Alagoas (AL),112097,112097,2638,2638
Amapá (AP),74045,74045,1011,1010
Amazonas (AM),233971,233971,6450,6450
Bahia (BA),544324,544324,9697,9697
Ceará (CE),356985,356117,10243,10240
Distrito Federal(DF),265886,265886,4436,4436
Espírito Santo (ES),279039,278959,5565,5563
Goiás (GO),332391,331154,7107,7107
Maranhão (MA),203964,203964,4618,4618
Mato Grosso (MT),202125,201014,4846,4774
Mato Grosso do Sul (MS),153057,152026,2723,2705
Minas Gerais (MG),651956,651956,13507,13507
Pará (PA),312632,311063,7434,7427
Paraíba (PB),178081,178081,3912,3912
Paraná (PR),508570,508570,9132,9132
Pernambuco (PE),243044,243044,10059,10059
Piauí (PI),152997,152211,2976,2968
Rio de Janeiro (RJ),486806,486806,28026,28026
Rio Grande do Norte (RN),133099,130973,3209,3188
Rio Grande do Sul (RS),512343,512343,10051,10051
Rondônia (RO),111372,111372,2044,2044
Roraima (RR),71451,71232,816,816
Santa Catarina (SC),546522,546522,5969,5969
São Paulo (SP),1644225,1644225,50318,50318
Sergipe (SE),129505,129505,2674,2674
Tocantins (TO),97790,97196,1330,1323
TOTAL,8583485,8573864,211630,211491
