https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),26004,26004,636,636
Alagoas (AL),81440,81440,1965,1965
Amapá (AP),45665,45665,677,677
Amazonas (AM),126423,126423,3883,3883
Bahia (BA),279509,279509,5866,5866
Ceará (CE),226021,225878,8683,8666
Distrito Federal(DF),174549,174549,2867,2867
Espírito Santo (ES),118814,118813,3332,3332
Goiás (GO),162204,160769,3761,3717
Maranhão (MA),161994,161994,3560,3560
Mato Grosso (MT),104529,103929,3093,3044
Mato Grosso do Sul (MS),58671,58304,1055,1035
Minas Gerais (MG),246149,246149,6114,6114
Pará (PA),213655,212428,6307,6299
Paraíba (PB),112018,112018,2604,2604
Paraná (PR),150668,150668,3781,3781
Pernambuco (PE),135643,135643,7817,7817
Piauí (PI),86085,85225,1958,1947
Rio de Janeiro (RJ),240453,240453,16883,16883
Rio Grande do Norte (RN),65266,64878,2321,2308
Rio Grande do Sul (RS),153475,153475,3997,3997
Rondônia (RO),60068,60038,1231,1231
Roraima (RR),46348,46102,610,609
Santa Catarina (SC),195701,195701,2497,2497
São Paulo (SP),882809,882809,32338,32338
Sergipe (SE),74645,74645,1939,1939
Tocantins (TO),59395,58655,799,784
TOTAL,4288201,4282164,130574,130396
