https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),23729,23729,604,604
Alagoas (AL),76495,76495,1827,1827
Amapá (AP),41254,41254,637,637
Amazonas (AM),115792,115792,3578,3578
Bahia (BA),237208,237208,4981,4981
Ceará (CE),205875,205564,8335,8292
Distrito Federal(DF),150519,150519,2316,2316
Espírito Santo (ES),106494,106493,3045,3045
Goiás (GO),120515,118569,2804,2758
Maranhão (MA),144895,144895,3365,3365
Mato Grosso (MT),83490,82532,2614,2551
Mato Grosso do Sul (MS),43065,43065,749,749
Minas Gerais (MG),195920,195920,4805,4805
Pará (PA),191609,189582,6078,6062
Paraíba (PB),101303,101303,2330,2330
Paraná (PR),119004,119004,3010,3010
Pernambuco (PE),119357,119357,7399,7399
Piauí (PI),72956,72165,1741,1724
Rio de Janeiro (RJ),211360,211360,15392,15392
Rio Grande do Norte (RN),59846,59649,2179,2173
Rio Grande do Sul (RS),109953,109953,3102,3102
Rondônia (RO),51791,51791,1073,1073
Roraima (RR),42044,41770,582,579
Santa Catarina (SC),133533,133533,2066,2066
São Paulo (SP),756480,756480,28505,28505
Sergipe (SE),70606,70606,1793,1793
Tocantins (TO),44273,44273,593,593
TOTAL,3629366,3622861,115503,115309
